,closed,share
 WebOS ,0,0.007150518412584913
 Home Renovation ,0,0.01787629603146228
 Developer Tools ,0,0.04647836968180193
 Text Analytics ,0,0.014301036825169826
 Tourism ,0,0.04647836968180193
 Artists Globally ,0,0.010725777618877368
 Social Television ,0,0.010725777618877368
 Performance Marketing ,0,0.01787629603146228
 Testing ,0,0.03575259206292456
 DIY ,0,0.01787629603146228
 Oil ,0,0.014301036825169826
 Wind ,0,0.0035752592062924565
 Local Coupons ,0,0.0035752592062924565
 Collectibles ,0,0.01787629603146228
 Semantic Web ,0,0.03575259206292456
 Computers ,0,0.04647836968180193
 Online Travel ,0,0.05005362888809439
 Cloud Security ,0,0.0321773328566321
 Professional Networking ,0,0.010725777618877368
 Mobile Devices ,0,0.03575259206292456
 Music Venues ,0,0.0035752592062924565
 Freemium ,0,0.010725777618877368
 Ventures for Good ,0,0.0035752592062924565
 Industrial Energy Efficiency ,0,0.0035752592062924565
 Aerospace ,0,0.04290311047550947
 Personal Data ,0,0.0035752592062924565
 Non Profit ,0,0.01787629603146228
 Machine Learning ,0,0.06792992491955667
 Social Travel ,0,0.03575259206292456
 Civil Engineers ,0,0.0035752592062924565
 Accounting ,0,0.05005362888809439
 Rental Housing ,0,0.007150518412584913
 P2P Money Transfer ,0,0.025026814444047196
 Optimization ,0,0.057204147300679305
 Vending and Concessions ,0,0.0035752592062924565
 Twin-Tip Skis ,0,0.0035752592062924565
 Task Management ,0,0.028602073650339652
 Mobility ,0,0.04290311047550947
 Natural Resources ,0,0.007150518412584913
 Application Performance Monitoring ,0,0.014301036825169826
 Kinect ,0,0.014301036825169826
 Online Dating ,0,0.04647836968180193
 Usability ,0,0.010725777618877368
 Mac ,0,0.010725777618877368
 Smart Grid ,0,0.021451555237754737
 Social Bookmarking ,0,0.021451555237754737
 Distributed Generation ,0,0.0035752592062924565
 Trading ,0,0.04647836968180193
 User Experience Design ,0,0.03932785126921702
 Commercial Solar ,0,0.0035752592062924565
 Investment Management ,0,0.03932785126921702
 Staffing Firms ,0,0.014301036825169826
 Communities ,0,0.11440829460135861
 Identity ,0,0.0321773328566321
 Bioinformatics ,0,0.007150518412584913
 Personal Finance ,0,0.06792992491955667
 App Discovery ,0,0.0035752592062924565
 3D Technology ,0,0.014301036825169826
 Green ,0,0.01787629603146228
 Q&A ,0,0.007150518412584913
 Reading Apps ,0,0.0035752592062924565
 Medical Marijuana Patients ,0,0.007150518412584913
 Specialty Foods ,0,0.025026814444047196
 Home Automation ,0,0.10725777618877369
 Engineering Firms ,0,0.010725777618877368
 Religion ,0,0.007150518412584913
 Personal Health ,0,0.025026814444047196
 Cable ,0,0.0035752592062924565
 K-12 Education ,0,0.0321773328566321
 Batteries ,0,0.021451555237754737
 Online Identity ,0,0.007150518412584913
 Recycling ,0,0.028602073650339652
